X,Y,distancia_sitios_nuevos,presencia_sitio_nuevo,distancia_mincul,altitud,pendiente,dist_river_m,dist_river_norm,p_norm,h_norm,W_river,W_corridor
342825.0,8554375.0,3459.9494215956397,0,917.1968163922072,3.0,0.92528886,1547.3933012527732,0.35354246953945456,0.014266865918987123,0.0004918839153959663,0.6464575304605454,0.6372346075511454
342825.0,8554625.0,3566.686137018507,0,1020.4165815979276,7.0,2.0682898,1569.903210941938,0.3586854531778562,0.03189059604393021,0.0024594195769798315,0.6413145468221437,0.6208626436723426
342825.0,8554875.0,3687.3093171037335,0,1151.6292806281022,7.0,0.0,1332.9722715479445,0.30455231974636193,0.0,0.0024594195769798315,0.695447680253638,0.695447680253638
342825.0,8555125.0,3820.503893467457,0,936.0822613424529,7.0,1.8500954,1085.8272216805867,0.24808550289406628,0.028526295030867278,0.0024594195769798315,0.7519144971059337,0.7304651623235037
342825.0,8555375.0,3965.003152583866,0,742.4621202458749,7.0,1.3084424,840.3727946390678,0.19200495349695204,0.020174642849928738,0.0024594195769798315,0.807995046503048,0.7916940350153374
342825.0,8555625.0,4119.6177007096185,0,592.663479556485,8.0,0.92528886,598.6920014467971,0.13678659046184463,0.014266865918987123,0.002951303492375798,0.8632134095381554,0.8508980595648029
342825.0,8555875.0,4283.252269012415,0,525.594901040716,8.0,0.92528886,368.29036265325595,0.0841452482734976,0.014266865918987123,0.002951303492375798,0.9158547517265024,0.9027883747823532
342825.0,8556125.0,4454.913018230547,0,571.1829829397931,4.0,0.92528886,178.42070570456823,0.04076450829718058,0.014266865918987123,0.0009837678307919326,0.9592354917028194,0.9455502075579616
342825.0,8556375.0,4633.708018423258,0,707.9901129253147,6.0,0.92528886,2.3854972634054445,0.0005446136242438303,0.014266865918987123,0.0019675356615838652,0.9994553863757561,0.9851962903863238
342825.0,8556625.0,4818.843222185175,0,895.1256894984078,7.0,1.8500954,173.64971117775735,0.039674448535541314,0.028526295030867278,0.0024594195769798315,0.9603255514644586,0.9329310214577032
342825.0,8556875.0,5009.615753728024,0,1107.361729517505,9.0,2.0682898,349.6849196189202,0.07989434320847807,0.03189059604393021,0.003443187407771764,0.9201056567915219,0.8907629389730484
342825.0,8557125.0,5205.405843928022,0,1332.760293526184,9.0,2.0682898,544.5872443457242,0.12442492911477777,0.03189059604393021,0.003443187407771764,0.8755750708852222,0.847652459993486
342825.0,8557375.0,5405.668321308662,0,1565.6468311851177,8.0,2.0682898,771.1141693141681,0.1761809905498414,0.03189059604393021,0.002951303492375798,0.8238190094501586,0.7975469302064729
342825.0,8557625.0,5499.851585933513,0,1803.122292025696,5.0,0.92528886,1008.7907897726313,0.23048449452333217,0.014266865918987123,0.001475651746187899,0.7695155054766678,0.7585369309374507
342825.0,8557875.0,5381.1181428487325,0,1625.1922963145007,5.0,0.92528886,1251.279606220408,0.2858874718212198,0.014266865918987123,0.001475651746187899,0.7141125281787801,0.7039243804881846
342825.0,8558125.0,5271.574477070034,0,1375.2272539475066,6.0,1.3084424,1496.2427772110075,0.34185578079324874,0.020174642849928738,0.0019675356615838652,0.6581442192067513,0.6448663946405099
342825.0,8558375.0,5171.804565845137,0,1125.27774349269,8.0,2.0682898,1579.817287829778,0.36095058599838287,0.03189059604393021,0.002951303492375798,0.6390494140016172,0.6186697472875813
342825.0,8558625.0,5082.3840338267455,0,875.3570700005798,6.0,2.0682898,1405.8211079020475,0.32119656126573576,0.03189059604393021,0.0019675356615838652,0.6788034387342643,0.6571559924763591
342825.0,8558875.0,5003.867750780133,0,625.4998001598402,5.0,1.3084424,1231.8249279743172,0.2814425365330887,0.020174642849928738,0.001475651746187899,0.7185574634669113,0.7040608232743156
342825.0,8559125.0,4936.77601955951,0,375.8324094593227,6.0,0.0,1057.8287480465867,0.24168851180044162,0.0,0.0019675356615838652,0.7583114881995584,0.7583114881995584
342825.0,8559375.0,4881.579915078544,0,127.47548783981962,7.0,0.92528886,897.5932060114276,0.20507846838592173,0.014266865918987123,0.0024594195769798315,0.7949215316140783,0.7835804927064244
342825.0,8559625.0,4838.686543608571,0,127.47548783981962,6.0,2.0682898,785.3782168169151,0.17943998909479444,0.03189059604393021,0.0019675356615838652,0.8205600109052056,0.7943918630676248
342825.0,8559875.0,4808.425154590541,0,375.8324094593227,11.0,3.3327029,743.6157095053611,0.16989824082623792,0.051386358874048854,0.004426955238563697,0.830101759173762,0.7874458522748798
342825.0,8560125.0,4791.035114388067,0,625.4998001598402,15.0,3.3327029,745.0147411984927,0.17021788658256207,0.051386358874048854,0.0063944909001475625,0.8297821134174379,0.7871426319501027
342825.0,8560375.0,4786.65671082645,0,875.3570700005798,20.0,2.9237342,746.4464167532424,0.17054499069160792,0.04508054253906946,0.008853910477127394,0.8294550093083921,0.7920627274770209
342825.0,8560625.0,4795.325585119356,0,1125.27774349269,29.0,5.610798,659.1874693553531,0.1506083785519549,0.08651190587609701,0.01328086571569109,0.849391621448045,0.7759091334413863
342825.0,8560875.0,4816.971296084367,0,1375.2272539475066,48.0,11.440344,485.17799433922187,0.11085131620507212,0.1763966486261261,0.02262666010821445,0.8891486837949278,0.7323058358431714
342825.0,8561125.0,4851.420149533652,0,1625.1922963145007,66.0,7.4188256,329.8440596323752,0.07536117449782186,0.11438956491008569,0.031480570585341844,0.9246388255021781,0.8188697925540114
342825.0,8561375.0,4898.4020320203945,0,1875.1666592599177,49.0,11.005541,300.2103531347342,0.06859057124942564,0.16969249777082093,0.023118544023610417,0.9314094287505743,0.7733562363385958
342825.0,8561625.0,4957.560636775101,0,2035.006142496872,33.0,7.0121818,285.83438111275865,0.06530600059072018,0.10811959579861555,0.015248401377274956,0.9346939994092798,0.8336352619977571
342825.0,8561875.0,5028.466214195174,0,2194.5956347354745,29.0,1.3084424,111.80631104706887,0.025544689713436538,0.020174642849928738,0.01328086571569109,0.9744553102865635,0.9547960224283156
342825.0,8562125.0,5110.629850351398,0,2369.862865230813,31.0,2.0682898,62.221759018620865,0.014215788650695492,0.03189059604393021,0.014264633546483024,0.9857842113493045,0.9543469652786796
342825.0,8562375.0,5126.524163602469,0,2557.5867531718254,37.0,1.3084424,236.24982908431062,0.053977099527979126,0.020174642849928738,0.017215937038858823,0.9460229004720209,0.9269372263271441
342825.0,8562625.0,4876.60230078279,0,2755.2223140792107,46.0,9.571109,410.27789915000034,0.09373841040526275,0.14757524347479004,0.02164289227742252,0.9062615895947372,0.7725198148584437
342825.0,8562875.0,4626.688880830437,0,2960.785368783087,48.0,7.8567414,584.3059692156902,0.13349972128254642,0.12114171148019134,0.02262666010821445,0.8665002787174536,0.7615309519555584
342825.0,8563125.0,4376.785350002899,0,3172.735412857492,82.0,5.8323207,758.3340392813797,0.17326103215983,0.08992752536049459,0.039350713231677305,0.82673896784017,0.752392378343214
342825.0,8563375.0,4126.893504804794,0,3389.8746289501623,87.0,5.3799167,932.3621093470695,0.21302234303711362,0.08295198778705676,0.04181013280865714,0.7869776569628864,0.7216962959738145
342825.0,8563625.0,3877.0156048177055,0,3611.267090648378,100.0,3.9198825,1106.3901794127594,0.2527836539143973,0.060439977679709704,0.0482046237088047,0.7472163460856027,0.7020546068062747
342825.0,8563875.0,3627.154532136727,0,3836.176481863159,119.0,8.320585,1280.4182494784488,0.29254496479168085,0.12829363423065038,0.05755041810132806,0.7074550352083191,0.616693057686671
342825.0,8564125.0,3377.314021526574,0,4064.018946806228,185.0,17.148108,1454.4463195441388,0.33230627566896453,0.26440365617317646,0.09001475651746184,0.6676937243310355,0.49115306241402473
342825.0,8564375.0,3127.499000799201,0,4294.327654010579,194.0,24.07067,1628.4743896098282,0.3720675865462481,0.37114142006441725,0.09444171175602553,0.6279324134537518,0.39488068582004965
342825.0,8564625.0,2877.7161083053347,0,4526.726190084839,169.0,10.235647,1802.5024596755181,0.4118288974235318,0.1578216378213856,0.08214461387112637,0.5881711025764682,0.4953449758486398
342825.0,8564875.0,2627.97450520358,0,4760.9085267415085,231.0,30.77845,1976.5305297412078,0.4515902083008154,0.4745674981370133,0.1126414166256763,0.5484097916991846,0.2881523288986619
342825.0,8565125.0,2378.287198805056,0,4996.623860167983,251.0,19.635462,2150.5585998068977,0.4913515191780991,0.302755729288005,0.12247909493359561,0.508648480821901,0.3546522390594305
342825.0,8565375.0,2128.6732957408003,0,5233.665063796116,315.0,22.472963,2324.586669872587,0.5311128300553827,0.3465066573084632,0.15395966551893747,0.4688871699446173,0.3064146440322827
